"Id";"Descricao";"Tema_id";"Ativo"
"496";"Itinerário do ônibus";"12";"0"
"497";"Superlotação em ônibus";"14";"1"
"498";"Linhas de ônibus";"12";"0"
"499";"Construção de parada de ônibus";"12";"0"
"500";"Localização de parada de ônibus";"12";"0"
"501";"Limpeza dos terminais rodoviários";"12";"0"
"502";"Acessibilidade nos terminais rodoviários";"12";"0"
"503";"Manutenção dos elevadores nos terminais rodoviários";"12";"0"
"504";"Segurança nos terminais rodoviários";"12";"0"
"505";"Placa de parada de ônibus";"12";"0"
"506";"Construção de terminais rodoviários";"12";"0"
"507";"Limpeza das paradas de ônibus";"12";"0"
"508";"Reforma em parada de ônibus";"12";"0"
"509";"Manutenção em terminais rodoviários";"12";"0"
"510";"Bloqueio de cartão do SBA";"12";"0"
"511";"Liberação do vale transporte ";"12";"0"
"512";"Sistemas do Dftrans fora do ar";"12";"0"
"513";"Confecção do cartão SBA";"12";"0"
"514";"Cartão Cidadão - Bilhete Único";"12";"1"
"515";"Cadastro cartão SBA";"12";"0"
"516";"Atendimento nos postos do Sistema de Bilhetagem Automática - SBA";"12";"0"
"517";"Bloqueio de cartão estudantil ";"12";"0"
